Threshold,Malicious Rate,Gossipers Rate,Informed Counts
0.1,0.05,0.05,"[188, 765, 1522, 1807, 1838, 1839]"
0.1,0.05,0.1,"[283, 574, 1769, 1833, 1838]"
0.1,0.05,0.2,"[472, 766, 1820, 1847, 1855]"
0.1,0.05,0.3,"[661, 1205, 1853, 1862]"
0.1,0.05,0.4,"[850, 1595, 1868, 1877, 1878]"
0.1,0.05,0.5,"[1039, 1554, 1867, 1870]"
0.1,0.1,0.05,"[283, 644, 1774, 1856]"
0.1,0.1,0.1,"[378, 1074, 1822, 1846]"
0.1,0.1,0.2,"[567, 1214, 1834, 1859]"
0.1,0.1,0.3,"[756, 1515, 1858, 1860]"
0.1,0.1,0.4,"[945, 1579, 1862, 1866]"
0.1,0.1,0.5,"[1134, 1777, 1880]"
0.1,0.2,0.05,"[472, 953, 1827, 1843, 1846]"
0.1,0.2,0.1,"[567, 1109, 1814, 1861, 1862, 1863]"
0.1,0.2,0.2,"[756, 1351, 1850, 1859]"
0.1,0.2,0.3,"[945, 1556, 1873, 1876]"
0.1,0.2,0.4,"[1134, 1583, 1870, 1873]"
0.1,0.2,0.5,"[1323, 1825, 1879, 1880]"
0.1,0.3,0.05,"[661, 1450, 1862, 1868]"
0.1,0.3,0.1,"[756, 1435, 1858, 1864]"
0.1,0.3,0.2,"[945, 1493, 1878]"
0.1,0.3,0.3,"[1134, 1634, 1874, 1875]"
0.1,0.3,0.4,"[1323, 1782, 1882, 1883]"
0.1,0.3,0.5,"[1512, 1810, 1879]"
0.1,0.4,0.05,"[850, 1586, 1869, 1870]"
0.1,0.4,0.1,"[945, 1556, 1861, 1865]"
0.1,0.4,0.2,"[1134, 1698, 1871, 1874]"
0.1,0.4,0.3,"[1323, 1741, 1882, 1883]"
0.1,0.4,0.4,"[1512, 1824, 1888]"
0.1,0.4,0.5,"[1701, 1862, 1889]"
0.1,0.5,0.05,"[1039, 1623, 1861, 1864, 1865]"
0.1,0.5,0.1,"[1134, 1664, 1877, 1878]"
0.1,0.5,0.2,"[1323, 1808, 1879, 1880]"
0.1,0.5,0.3,"[1512, 1875, 1885]"
0.1,0.5,0.4,"[1701, 1854, 1886]"
0.1,0.5,0.5,[1890]
0.2,0.05,0.05,"[188, 486, 609, 1078, 1718, 1829, 1841, 18 42]"
0.2,0.05,0.1,"[283, 667, 943, 1655, 1831, 1832]"
0.2,0.05,0.2,"[472, 897, 1758, 1861]"
0.2,0.05,0.3,"[661, 1265, 1837, 1851, 1852]"
0.2,0.05,0.4,"[850, 1337, 1862, 1870, 1871]"
0.2,0.05,0.5,"[1039, 1620, 1869, 1874]"
0.2,0.1,0.05,"[283, 421, 519, 923, 1539, 1830, 1839]"
0.2,0.1,0.1,"[378, 1182, 1631, 1842, 1849]"
