Degree,Frequency
in2951,1
in2439,1
in1840,1
in1544,1
in1454,1
in1107,1
in987,1
in745,1
in710,1
in662,1
in554,1
in538,1
in531,1
in507,1
in466,1
in461,1
in457,1
in440,1
in398,1
in397,1
in394,1
in351,1
in342,1
in337,1
in305,1
in297,1
in294,1
in282,1
in278,1
in247,1
in245,1
in241,1
in236,1
in235,1
in230,2
in228,1
in220,1
in219,1
in211,1
in208,1
in204,1
in196,1
in193,2
in189,1
in186,1
in185,1
in183,2
in182,1
in179,1
in176,1
in175,1
in174,1
in168,1
in157,1
in156,1
in155,1
in153,1
in146,1
in145,1
in143,1
in140,1
in139,1
in137,1
in131,1
in128,1
in125,1
in119,2
in114,1
in113,1
in108,1
in107,1
in100,1
in98,1
in94,2
in91,2
in89,1
in87,1
in86,1
in85,1
in84,1
in82,2
in81,2
in79,2
in77,2
in76,1
in74,1
in72,3
in70,1
in66,2
in65,1
in61,2
in60,1
in59,2
in58,2
in57,1
in56,1
in55,1
in53,1
in52,2
in51,2
in50,1
in47,1
in46,2
in45,1
in43,1
in40,2
in39,2
in38,3
in37,1
in36,2
in35,5
in34,2
in33,2
in32,4
in31,4
in30,5
in29,4
in27,3
in26,2
in25,8
in24,7
in23,6
in22,6
in21,2
in20,4
in19,3
in18,2
in17,9
in16,7
in15,8
in14,8
in13,9
in12,10
in11,11
in10,19
in9,26
in8,14
in7,19
in6,51
in5,35
in4,63
in3,107
in2,210
in1,563
in0,519
out4073,1
out2862,1
out1843,1
out1706,1
out1101,1
out1095,1
out1029,1
out900,1
out854,1
out783,1
out770,1
out738,1
out702,1
out694,1
out635,1
out606,1
out471,1
out466,1
out437,1
out425,1
out423,1
out400,1
out367,1
out341,1
out329,1
out310,1
out304,1
out300,1
out297,1
out296,1
out293,1
out285,1
out268,1
out258,1
out255,1
out250,1
out245,1
out244,1
out239,1
out227,1
out195,1
out180,1
out173,1
out167,1
out159,1
out156,1
out144,1
out143,1
out140,3
out139,1
out136,1
out133,1
out127,2
out124,1
out122,1
out118,1
out117,1
out115,2
out109,2
out108,3
out107,1
out99,1
out98,1
out96,1
out93,2
out91,1
out88,1
out86,1
out85,1
out84,1
out83,1
out80,1
out76,3
out75,1
out73,1
out72,2
out71,1
out69,1
out64,1
out63,1
out61,2
out55,3
out54,3
out52,1
out51,1
out50,2
out49,1
out48,1
out47,3
out46,1
out45,1
out44,2
out42,1
out41,1
out40,1
out39,1
out38,3
out37,1
out36,2
out35,1
out33,2
out32,3
out31,1
out30,5
out29,1
out28,2
out27,1
out26,3
out25,4
out24,1
out23,4
out22,8
out21,8
out20,3
out19,7
out18,3
out17,3
out16,5
out15,4
out14,5
out13,8
out12,6
out11,14
out10,16
out9,13
out8,14
out7,22
out6,26
out5,32
out4,57
out3,79
out2,166
out1,445
out0,797
