Threshold,Malicious Rate,Gossipers Rate,Correct Info
0.1,0.05,1,"[1, 311, 397, 596, 604, 605, 605, 605, 605]"
0.1,0.05,4,"[4, 717, 863, 1148, 1182, 1184, 1184, 1184]"
0.1,0.05,8,"[8, 840, 976, 1189, 1206, 1207]"
0.1,0.05,16,"[16, 1075, 1259, 1475, 1478, 1479]"
0.1,0.05,32,"[32, 1342, 1534, 1696, 1700, 1701]"
0.1,0.1,1,"[1, 294, 355, 375, 375, 375, 375, 375, 375]"
0.1,0.1,4,"[4, 689, 811, 968, 988, 991, 991, 991]"
0.1,0.1,8,"[8, 803, 923, 1003, 1003, 1003]"
0.1,0.1,16,"[16, 1014, 1181, 1284, 1289, 1289]"
0.1,0.1,32,"[32, 1284, 1451, 1513, 1514, 1515]"
0.1,0.2,1,"[1, 252, 297, 310, 310, 310, 310, 310, 310]"
0.1,0.2,4,"[4, 611, 680, 691, 691, 691, 691, 691]"
0.1,0.2,8,"[8, 717, 814, 828, 842, 842]"
0.1,0.2,16,"[16, 901, 1048, 1064, 1067]"
0.1,0.2,32,"[32, 1125, 1260, 1263, 1263, 1263]"
0.1,0.3,1,"[1, 221, 252, 253, 253, 253, 253, 253, 253]"
0.1,0.3,4,"[4, 512, 569, 575, 575, 575]"
0.1,0.3,8,"[8, 615, 682, 697, 697, 697]"
0.1,0.3,16,"[16, 802, 889, 901, 901, 901]"
0.1,0.3,32,"[32, 996, 1081, 1088, 1088]"
0.1,0.4,1,"[1, 202, 222, 225, 225, 225, 225, 225, 225]"
0.1,0.4,4,"[4, 450, 484, 486, 486, 486]"
0.1,0.4,8,"[8, 541, 576, 577, 577, 577]"
0.1,0.4,16,"[16, 687, 767, 777, 777]"
0.1,0.4,32,"[32, 859, 945, 954]"
0.1,0.5,1,"[1, 172, 184, 188, 188, 188, 188, 188]"
0.1,0.5,4,"[4, 378, 412, 416, 416, 416]"
0.1,0.5,8,"[8, 453, 478, 479, 479, 479]"
0.1,0.5,16,"[16, 549, 603, 604, 604]"
0.1,0.5,32,"[32, 723, 745, 747, 747]"
0.1,0.6,1,"[1, 139, 151, 153, 153, 153, 153, 153, 153, 153]"
0.1,0.6,4,"[4, 301, 312, 313, 313, 313]"
0.1,0.6,8,"[8, 377, 394, 394, 394, 394]"
0.1,0.6,16,"[16, 475, 513, 518, 518]"
0.1,0.6,32,"[32, 575, 617, 619, 619]"
0.2,0.05,1,"[1, 266, 295, 315, 319, 319, 319, 319, 319, 319, 319, 319, 319]"
0.2,0.05,4,"[4, 632, 701, 747, 756, 756, 756, 756]"
0.2,0.05,8,"[8, 768, 889, 1029, 1033, 1036, 1036]"
0.2,0.05,16,"[16, 1035, 1174, 1306, 1323, 1326, 1326]"
0.2,0.05,32,"[32, 1339, 1478, 1657, 1665, 1666]"
0.2,0.1,1,"[1, 255, 283, 303, 307, 307, 307, 307, 307, 307, 307, 307, 307]"
0.2,0.1,4,"[4, 592, 653, 687, 689, 689, 689, 689, 689]"
0.2,0.1,8,"[8, 719, 828, 894, 903, 906, 906]"
0.2,0.1,16,"[16, 978, 1087, 1151, 1151, 1151, 1151]"
0.2,0.1,32,"[32, 1258, 1361, 1385, 1390, 1390]"
0.2,0.2,1,"[1, 225, 244, 256, 258, 258, 258, 258, 258, 258, 258, 258, 258, 258]"
0.2,0.2,4,"[4, 528, 574, 594, 596, 596, 596, 596, 596]"
0.2,0.2,8,"[8, 646, 715, 738, 738, 738, 738, 738]"
0.2,0.2,16,"[16, 858, 936, 945, 945, 945, 945]"
0.2,0.2,32,"[32, 1122, 1201, 1208, 1208, 1208]"
0.2,0.3,1,"[1, 193, 206, 213, 215, 215, 215, 215, 215, 215, 215, 215, 215]"
0.2,0.3,4,"[4, 451, 490, 509, 512, 512, 512, 512, 512]"
0.2,0.3,8,"[8, 566, 611, 613, 613, 613, 613, 613]"
0.2,0.3,16,"[16, 764, 813, 818, 818, 818, 818]"
0.2,0.3,32,"[32, 981, 1072, 1082, 1085]"
0.2,0.4,1,"[1, 171, 182, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183, 183]"
0.2,0.4,4,"[4, 409, 435, 447, 447, 447, 447, 447, 447, 447, 447]"
0.2,0.4,8,"[8, 472, 504, 508, 508, 508, 508]"
0.2,0.4,16,"[16, 635, 670, 672, 672, 672, 672]"
0.2,0.4,32,"[32, 825, 869, 872, 872]"
0.2,0.5,1,"[1, 137, 141, 142, 142, 142, 142, 142, 142, 142, 142, 142, 142, 142]"
0.2,0.5,4,"[4, 337, 358, 368, 368, 368, 368, 368]"
0.2,0.5,8,"[8, 408, 435, 438, 438, 438]"
0.2,0.5,16,"[16, 551, 576, 581, 581, 581]"
0.2,0.5,32,"[32, 710, 741, 741, 741]"
0.2,0.6,1,"[1, 113, 117, 119, 121, 121, 121, 121, 121, 121, 121, 121, 121, 121]"
0.2,0.6,4,"[4, 267, 277, 279, 279, 279, 279]"
0.2,0.6,8,"[8, 297, 309, 310, 310, 310]"
0.2,0.6,16,"[16, 431, 451, 451, 451, 451, 451]"
0.2,0.6,32,"[32, 575, 596, 596, 596, 596]"
0.3,0.05,1,"[1, 238, 251, 257]"
0.3,0.05,4,"[4, 584, 608, 623, 644, 664, 687, 702, 705, 705, 705, 705, 705, 705, 705, 705, 705, 705]"
0.3,0.05,8,"[8, 711, 763, 798, 808, 808, 808, 808, 808, 808]"
0.3,0.05,16,"[16, 966, 1060, 1103, 1110, 1110, 1110, 1110]"
0.3,0.05,32,"[32, 1297, 1452, 1496, 1505, 1505]"
0.3,0.1,1,"[1, 216, 226, 230]"
0.3,0.1,4,"[4, 562, 582, 590, 602, 608, 621, 622, 623, 623, 623, 623, 623, 623, 623, 623, 623, 623]"
0.3,0.1,8,"[8, 672, 711, 728, 733, 733, 733, 733, 733, 733]"
0.3,0.1,16,"[16, 911, 1003, 1037, 1042, 1042, 1042, 1042]"
0.3,0.1,32,"[32, 1228, 1349, 1369, 1369, 1369]"
0.3,0.2,1,"[1, 202, 210, 213]"
0.3,0.2,4,"[4, 492, 512, 520, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525, 525]"
0.3,0.2,8,"[8, 583, 610, 614, 614, 614, 614, 614, 614, 614]"
0.3,0.2,16,"[16, 811, 882, 896, 896, 896, 896, 896]"
0.3,0.2,32,"[32, 1089, 1187, 1228, 1232, 1233]"
0.3,0.3,1,"[1, 171, 174, 176]"
0.3,0.3,4,"[4, 432, 440, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442, 442]"
0.3,0.3,8,"[8, 515, 536, 542, 545, 545, 545, 545, 545, 545]"
