Threshold,Malicious Rate,Gossipers Rate,False Info
0.1,0.05,1,"[0, 11, 21, 197, 388, 1041, 1092, 1143, 1145]"
0.1,0.05,4,"[0, 32, 65, 478, 516, 597, 599, 600]"
0.1,0.05,8,"[0, 50, 94, 509, 582, 586]"
0.1,0.05,16,"[0, 53, 89, 313, 324, 324]"
0.1,0.05,32,"[0, 76, 92, 112, 112, 112]"
0.1,0.1,1,"[0, 28, 63, 395, 584, 1202, 1252, 1299, 1300]"
0.1,0.1,4,"[0, 60, 115, 615, 663, 743, 745, 746]"
0.1,0.1,8,"[0, 87, 147, 663, 748, 753]"
0.1,0.1,16,"[0, 114, 166, 473, 485, 486]"
0.1,0.1,32,"[0, 134, 173, 282, 285, 285]"
0.1,0.2,1,"[0, 70, 119, 428, 582, 1107, 1125, 1169, 1170]"
0.1,0.2,4,"[0, 138, 242, 810, 863, 936, 938, 939]"
0.1,0.2,8,"[0, 173, 252, 768, 827, 830]"
0.1,0.2,16,"[0, 227, 297, 635, 645]"
0.1,0.2,32,"[0, 293, 363, 510, 513, 514]"
0.1,0.3,1,"[0, 101, 164, 436, 578, 1043, 1077, 1119, 1121]"
0.1,0.3,4,"[0, 237, 351, 858, 901, 938]"
0.1,0.3,8,"[0, 275, 380, 816, 884, 885]"
0.1,0.3,16,"[0, 326, 443, 744, 753, 754]"
0.1,0.3,32,"[0, 422, 521, 644, 646]"
0.1,0.4,1,"[0, 120, 189, 427, 552, 913, 929, 960, 961]"
0.1,0.4,4,"[0, 299, 431, 866, 906, 953]"
0.1,0.4,8,"[0, 349, 469, 855, 907, 909]"
0.1,0.4,16,"[0, 441, 559, 831, 834]"
0.1,0.4,32,"[0, 559, 667, 765]"
0.1,0.5,1,"[0, 150, 216, 426, 529, 793, 812, 824]"
0.1,0.5,4,"[0, 371, 493, 851, 872, 922]"
0.1,0.5,8,"[0, 437, 562, 879, 919, 921]"
0.1,0.5,16,"[0, 579, 704, 928, 932]"
0.1,0.5,32,"[0, 695, 816, 894, 895]"
0.1,0.6,1,"[0, 183, 255, 433, 516, 733, 747, 763, 764, 768]"
0.1,0.6,4,"[0, 448, 584, 870, 881, 902]"
0.1,0.6,8,"[0, 513, 629, 872, 874, 898]"
0.1,0.6,16,"[0, 653, 791, 950, 953]"
0.1,0.6,32,"[0, 843, 963, 1023, 1024]"
0.2,0.05,1,"[0, 12, 14, 134, 213, 346, 400, 456, 595, 1054, 1313, 1384, 1385]"
0.2,0.05,4,"[0, 31, 52, 249, 354, 845, 903, 973]"
0.2,0.05,8,"[0, 37, 72, 288, 595, 684, 703]"
0.2,0.05,16,"[0, 44, 70, 319, 364, 429, 430]"
0.2,0.05,32,"[0, 64, 86, 101, 107, 107]"
0.2,0.1,1,"[0, 23, 26, 145, 221, 353, 405, 455, 571, 1001, 1234, 1284, 1285]"
