Threshold,Malicious Rate,Gossipers Rate,Informed Counts
0.1,0.05,1,"[1, 322, 418, 793, 992, 1646, 1697, 1748, 1750]"
0.1,0.05,4,"[4, 749, 928, 1626, 1698, 1781, 1783, 1784]"
0.1,0.05,8,"[8, 890, 1070, 1698, 1788, 1793]"
0.1,0.05,16,"[16, 1128, 1348, 1788, 1802, 1803]"
0.1,0.05,32,"[32, 1418, 1626, 1808, 1812, 1813]"
0.1,0.1,1,"[1, 322, 418, 770, 959, 1577, 1627, 1674, 1675]"
0.1,0.1,4,"[4, 749, 926, 1583, 1651, 1734, 1736, 1737]"
0.1,0.1,8,"[8, 890, 1070, 1666, 1751, 1756]"
0.1,0.1,16,"[16, 1128, 1347, 1757, 1774, 1775]"
0.1,0.1,32,"[32, 1418, 1624, 1795, 1799, 1800]"
0.1,0.2,1,"[1, 322, 416, 738, 892, 1417, 1435, 1479, 1480]"
0.1,0.2,4,"[4, 749, 922, 1501, 1554, 1627, 1629, 1630]"
0.1,0.2,8,"[8, 890, 1066, 1596, 1669, 1672]"
0.1,0.2,16,"[16, 1128, 1345, 1699, 1712]"
0.1,0.2,32,"[32, 1418, 1623, 1773, 1776, 1777]"
0.1,0.3,1,"[1, 322, 416, 689, 831, 1296, 1330, 1372, 1374]"
0.1,0.3,4,"[4, 749, 920, 1433, 1476, 1513]"
0.1,0.3,8,"[8, 890, 1062, 1513, 1581, 1582]"
0.1,0.3,16,"[16, 1128, 1332, 1645, 1654, 1655]"
0.1,0.3,32,"[32, 1418, 1602, 1732, 1734]"
0.1,0.4,1,"[1, 322, 411, 652, 777, 1138, 1154, 1185, 1186]"
0.1,0.4,4,"[4, 749, 915, 1352, 1392, 1439]"
0.1,0.4,8,"[8, 890, 1045, 1432, 1484, 1486]"
0.1,0.4,16,"[16, 1128, 1326, 1608, 1611]"
0.1,0.4,32,"[32, 1418, 1612, 1719]"
0.1,0.5,1,"[1, 322, 400, 614, 717, 981, 1000, 1012]"
0.1,0.5,4,"[4, 749, 905, 1267, 1288, 1338]"
0.1,0.5,8,"[8, 890, 1040, 1358, 1398, 1400]"
0.1,0.5,16,"[16, 1128, 1307, 1532, 1536]"
0.1,0.5,32,"[32, 1418, 1561, 1641, 1642]"
0.1,0.6,1,"[1, 322, 406, 586, 669, 886, 900, 916, 917, 921]"
0.1,0.6,4,"[4, 749, 896, 1183, 1194, 1215]"
0.1,0.6,8,"[8, 890, 1023, 1266, 1268, 1292]"
0.1,0.6,16,"[16, 1128, 1304, 1468, 1471]"
0.1,0.6,32,"[32, 1418, 1580, 1642, 1643]"
0.2,0.05,1,"[1, 278, 309, 449, 532, 665, 719, 775, 914, 1373, 1632, 1703, 1704]"
0.2,0.05,4,"[4, 663, 753, 996, 1110, 1601, 1659, 1729]"
0.2,0.05,8,"[8, 805, 961, 1317, 1628, 1720, 1739]"
0.2,0.05,16,"[16, 1079, 1244, 1625, 1687, 1755, 1756]"
0.2,0.05,32,"[32, 1403, 1564, 1758, 1772, 1773]"
0.2,0.1,1,"[1, 278, 309, 448, 528, 660, 712, 762, 878, 1308, 1541, 1591, 1592]"
0.2,0.1,4,"[4, 663, 752, 989, 1096, 1566, 1620, 1681, 1682]"
0.2,0.1,8,"[8, 805, 962, 1304, 1610, 1692, 1708]"
0.2,0.1,16,"[16, 1079, 1244, 1601, 1660, 1721, 1722]"
0.2,0.1,32,"[32, 1403, 1562, 1741, 1754, 1755]"
0.2,0.2,1,"[1, 278, 309, 430, 503, 617, 661, 694, 784, 824, 1242, 1313, 1382, 1398]"
0.2,0.2,4,"[4, 663, 752, 966, 1066, 1409, 1530, 1589, 1590]"
0.2,0.2,8,"[8, 805, 961, 1266, 1523, 1555, 1607, 1608]"
0.2,0.2,16,"[16, 1079, 1242, 1554, 1605, 1666, 1667]"
0.2,0.2,32,"[32, 1403, 1557, 1718, 1729, 1730]"
0.2,0.3,1,"[1, 278, 305, 424, 495, 598, 639, 685, 778, 881, 1235, 1238, 1314]"
0.2,0.3,4,"[4, 663, 750, 959, 1052, 1422, 1459, 1497, 1507]"
0.2,0.3,8,"[8, 805, 960, 1226, 1449, 1475, 1523, 1524]"
0.2,0.3,16,"[16, 1079, 1235, 1497, 1540, 1590, 1591]"
0.2,0.3,32,"[32, 1403, 1559, 1692, 1701]"
0.2,0.4,1,"[1, 278, 307, 404, 469, 560, 595, 627, 696, 770, 1019, 1062, 1134, 1145]"
0.2,0.4,4,"[4, 663, 750, 941, 1030, 1318, 1352, 1353, 1360, 1361, 1391]"
0.2,0.4,8,"[8, 805, 955, 1202, 1393, 1416, 1461]"
0.2,0.4,16,"[16, 1079, 1229, 1476, 1513, 1558, 1559]"
0.2,0.4,32,"[32, 1403, 1551, 1668, 1676]"
0.2,0.5,1,"[1, 278, 307, 399, 464, 542, 572, 595, 607, 675, 714, 936, 950, 971]"
0.2,0.5,4,"[4, 663, 746, 906, 980, 1227, 1242, 1253]"
0.2,0.5,8,"[8, 805, 947, 1155, 1322, 1338]"
0.2,0.5,16,"[16, 1079, 1226, 1430, 1451, 1473]"
0.2,0.5,32,"[32, 1403, 1539, 1645, 1648]"
0.2,0.6,1,"[1, 278, 301, 380, 437, 509, 532, 558, 568, 614, 646, 827, 832, 875]"
0.2,0.6,4,"[4, 663, 736, 881, 949, 1138, 1163]"
0.2,0.6,8,"[8, 805, 936, 1112, 1254, 1268]"
0.2,0.6,16,"[16, 1079, 1212, 1369, 1389, 1419, 1420]"
0.2,0.6,32,"[32, 1403, 1520, 1591, 1595, 1596]"
0.3,0.05,1,"[1, 249, 263, 269]"
