Threshold,Malicious Rate,Gossipers Rate,False Info
0.1,1,1,"[0, 0, 0]"
0.1,1,4,"[0, 0, 0]"
0.1,1,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
0.1,1,16,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
0.1,1,32,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
0.1,4,1,[0]
0.1,4,4,[0]
0.1,4,8,"[0, 0]"
0.1,4,16,"[0, 0, 0, 0, 0, 0, 0, 2, 4, 4]"
0.1,4,32,"[0, 0, 0, 0, 0, 2, 3, 3, 3]"
0.1,8,1,"[0, 0, 0]"
0.1,8,4,"[0, 0, 0]"
0.1,8,8,"[0, 0, 0, 0]"
0.1,8,16,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 8, 8, 8]"
0.1,8,32,"[0, 0, 0, 0, 0, 0, 1, 6, 6, 6, 7]"
0.1,16,1,"[0, 0, 0]"
0.1,16,4,"[0, 0]"
0.1,16,8,"[0, 1, 1, 14, 14, 14, 14, 14, 14]"
0.1,16,16,"[0, 0, 0, 0, 0, 0, 1, 13, 15, 15, 16]"
0.1,16,32,"[0, 0, 0, 0, 0, 0, 0, 2, 12, 12, 16, 16, 16]"
0.1,32,1,[0]
0.1,32,4,"[0, 0, 0, 0, 0, 0, 1, 7, 27, 32, 32, 32]"
0.1,32,8,"[0, 0]"
0.1,32,16,"[0, 0, 0, 0, 1, 1, 1, 22, 26, 28, 28, 28, 28]"
0.1,32,32,"[0, 0, 0, 0, 0, 0, 0]"
0.2,1,1,[0]
0.2,1,4,[0]
0.2,1,8,"[0, 0]"
0.2,1,16,"[0, 0, 0, 0]"
0.2,1,32,"[0, 0, 0]"
0.2,4,1,[0]
0.2,4,4,[0]
0.2,4,8,"[0, 0]"
0.2,4,16,"[0, 0, 0]"
0.2,4,32,"[0, 0, 0, 0]"
0.2,8,1,[0]
0.2,8,4,[0]
0.2,8,8,"[0, 0, 0, 0, 0, 0, 0]"
0.2,8,16,"[0, 0]"
0.2,8,32,"[0, 0, 0, 0, 0]"
0.2,16,1,[0]
0.2,16,4,"[0, 0, 0]"
0.2,16,8,"[0, 1, 1]"
0.2,16,16,"[0, 0, 0]"
0.2,16,32,"[0, 0, 0, 0]"
0.2,32,1,[0]
0.2,32,4,"[0, 0, 0, 1, 1, 2, 2, 2]"
0.2,32,8,"[0, 1, 1, 1]"
0.2,32,16,"[0, 0]"
0.2,32,32,"[0, 0]"
0.3,1,1,[0]
0.3,1,4,[0]
0.3,1,8,"[0, 0]"
0.3,1,16,"[0, 0, 0, 0]"
0.3,1,32,"[0, 0]"
0.3,4,1,"[0, 0]"
0.3,4,4,[0]
0.3,4,8,"[0, 0]"
0.3,4,16,"[0, 0, 0]"
0.3,4,32,"[0, 0, 0]"
0.3,8,1,[0]
0.3,8,4,[0]
0.3,8,8,"[0, 0]"
0.3,8,16,"[0, 0]"
0.3,8,32,"[0, 0, 0]"
0.3,16,1,[0]
0.3,16,4,"[0, 0]"
0.3,16,8,"[0, 0]"
0.3,16,16,"[0, 0]"
0.3,16,32,"[0, 0]"
0.3,32,1,[0]
0.3,32,4,"[0, 0]"
0.3,32,8,[0]
0.3,32,16,"[0, 0, 0]"
0.3,32,32,"[0, 0]"
0.4,1,1,[0]
0.4,1,4,"[0, 0]"
0.4,1,8,[0]
0.4,1,16,"[0, 0]"
0.4,1,32,"[0, 0, 0]"
0.4,4,1,[0]
0.4,4,4,[0]
0.4,4,8,"[0, 0]"
0.4,4,16,"[0, 0]"
0.4,4,32,"[0, 0]"
0.4,8,1,[0]
0.4,8,4,"[0, 0]"
0.4,8,8,[0]
0.4,8,16,"[0, 0]"
0.4,8,32,"[0, 0]"
0.4,16,1,[0]
0.4,16,4,"[0, 0]"
0.4,16,8,[0]
0.4,16,16,"[0, 0]"
0.4,16,32,"[0, 0, 0, 0]"
0.4,32,1,[0]
0.4,32,4,[0]
0.4,32,8,"[0, 0]"
0.4,32,16,"[0, 0, 0, 0]"
0.4,32,32,"[0, 0, 0]"
0.5,1,1,[0]
0.5,1,4,[0]
0.5,1,8,"[0, 0]"
0.5,1,16,"[0, 0]"
0.5,1,32,"[0, 0]"
0.5,4,1,"[0, 0]"
0.5,4,4,[0]
0.5,4,8,"[0, 0]"
0.5,4,16,"[0, 0]"
0.5,4,32,"[0, 0]"
0.5,8,1,[0]
0.5,8,4,[0]
0.5,8,8,"[0, 0]"
0.5,8,16,"[0, 0]"
0.5,8,32,"[0, 0, 0]"
0.5,16,1,[0]
0.5,16,4,[0]
0.5,16,8,"[0, 0, 0]"
0.5,16,16,"[0, 0]"
0.5,16,32,"[0, 0]"
0.5,32,1,[0]
0.5,32,4,"[0, 0]"
0.5,32,8,[0]
0.5,32,16,[0]
0.5,32,32,"[0, 0, 0]"
