Betweenness Centrality:
BrighamYoung: 0.03248994918389482
FloridaState: 0.017621112680095283
Iowa: 0.013122497053431072
KansasState: 0.023070098856845606
NewMexico: 0.010663869449409077
TexasTech: 0.010660982082613544
PennState: 0.01968128436895882
SouthernCalifornia: 0.014563035979091633
ArizonaState: 0.005008648931669307
SanDiegoState: 0.01183115085985048
Baylor: 0.006907991485590174
NorthTexas: 0.011400348520391542
NorthernIllinois: 0.010144133783987277
Northwestern: 0.017291363429954684
WesternMichigan: 0.007074447857815538
Wisconsin: 0.020895265847707085
Wyoming: 0.022213447427560148
Auburn: 0.01660199660390932
Akron: 0.008492946116024448
VirginiaTech: 0.009759312735771708
Alabama: 0.02304632173060802
UCLA: 0.022126807176414888
Arizona: 0.006732525804006757
Utah: 0.0075893356814986665
ArkansasState: 0.02070022463158684
NorthCarolinaState: 0.01778327242869339
BallState: 0.01700336998667973
Florida: 0.010660261265228411
BoiseState: 0.01817205827359323
BostonCollege: 0.009028716823683692
WestVirginia: 0.015086641056354317
BowlingGreenState: 0.00841756267007742
Michigan: 0.014876854560096126
Virginia: 0.007354298482007655
Buffalo: 0.008025924976628357
Syracuse: 0.015475551922823365
CentralFlorida: 0.013206024770572684
GeorgiaTech: 0.009130695528918065
CentralMichigan: 0.02518680197086883
Purdue: 0.010703577458606346
Colorado: 0.013982681992917627
ColoradoState: 0.006438559060854571
Connecticut: 0.00778950469459186
EasternMichigan: 0.01359544491329856
EastCarolina: 0.014372451528538928
Duke: 0.011443177305595333
FresnoState: 0.010352652686330776
OhioState: 0.01510233078600516
Houston: 0.017789451176510238
Rice: 0.009784773433480328
Idaho: 0.014372027035004979
Washington: 0.01490455333589998
Kansas: 0.009851352698010494
SouthernMethodist: 0.016560890657173696
Kent: 0.0039059842191249516
Pittsburgh: 0.011734000737586285
Kentucky: 0.009539783889116067
Louisville: 0.010379976482942584
LouisianaTech: 0.02882282342077095
LouisianaMonroe: 0.010865586431809461
Minnesota: 0.015202649082396805
MiamiOhio: 0.020755436736059025
Vanderbilt: 0.01419757806978378
MiddleTennesseeState: 0.01828620821279898
Illinois: 0.020365117971128548
MississippiState: 0.010095341327721368
Memphis: 0.010700267807535182
Nevada: 0.01181028761939233
Oregon: 0.010756799902972803
NewMexicoState: 0.024139419776449275
SouthCarolina: 0.01518987229863096
Ohio: 0.012566710160707676
IowaState: 0.016295178668676146
SanJoseState: 0.008117245702971865
Nebraska: 0.010169665340926913
SouthernMississippi: 0.01168051872820568
Tennessee: 0.005946668030335615
Stanford: 0.011900534557201973
WashingtonState: 0.005522846002138626
Temple: 0.008171049457356317
Navy: 0.029161053264223705
TexasA&M: 0.0115098071474823
NotreDame: 0.03353295672662947
TexasElPaso: 0.0066366417878144035
Oklahoma: 0.0074325129265182905
Toledo: 0.008033939555272972
Tulane: 0.012377687742137084
Mississippi: 0.014199915092060613
Tulsa: 0.020079489412026353
NorthCarolina: 0.017157286536913386
UtahState: 0.008619870213633491
Army: 0.016539482936742633
Cincinnati: 0.02383635493910067
AirForce: 0.013952929320212781
Rutgers: 0.005316885933996748
Georgia: 0.00692742956544374
LouisianaState: 0.006940379384725656
LouisianaLafayette: 0.010385284876151105
Texas: 0.014140295421898302
Marshall: 0.009062853759648144
MichiganState: 0.011781046708853
MiamiFlorida: 0.018287337810389524
Missouri: 0.01592735384829188
Clemson: 0.013536271209453072
NevadaLasVegas: 0.01881941449900581
WakeForest: 0.004371887628309955
