Threshold,Malicious Rate,Gossipers Rate,Informed Counts
0.1,0.05,0.05,"[188, 410, 1207, 1786, 1838, 1839, 1840]"
0.1,0.05,0.1,"[283, 566, 1766, 1842, 1846]"
0.1,0.05,0.2,"[472, 873, 1840, 1855, 1856]"
0.1,0.05,0.3,"[661, 1501, 1852, 1861]"
0.1,0.05,0.4,"[850, 1465, 1868, 1874]"
0.1,0.05,0.5,"[1039, 1643, 1876, 1877, 1878]"
0.1,0.1,0.05,"[283, 831, 1773, 1846, 1848]"
0.1,0.1,0.1,"[378, 701, 1790, 1843, 1847]"
0.1,0.1,0.2,"[567, 1323, 1842, 1855]"
0.1,0.1,0.3,"[756, 1309, 1860, 1868]"
0.1,0.1,0.4,"[945, 1434, 1869, 1871]"
0.1,0.1,0.5,"[1134, 1498, 1873, 1875]"
0.1,0.2,0.05,"[472, 864, 1835, 1856, 1857]"
0.1,0.2,0.1,"[567, 1226, 1849, 1861]"
0.1,0.2,0.2,"[756, 1485, 1866, 1871]"
0.1,0.2,0.3,"[945, 1530, 1863, 1868]"
0.1,0.2,0.4,"[1134, 1660, 1877]"
0.1,0.2,0.5,"[1323, 1696, 1877, 1880]"
0.1,0.3,0.05,"[661, 1220, 1846, 1860, 1863]"
0.1,0.3,0.1,"[756, 1405, 1852, 1862]"
0.1,0.3,0.2,"[945, 1347, 1867, 1873]"
0.1,0.3,0.3,"[1134, 1655, 1883, 1884]"
0.1,0.3,0.4,"[1323, 1681, 1880, 1882]"
0.1,0.3,0.5,"[1512, 1868, 1887]"
0.1,0.4,0.05,"[850, 1620, 1867, 1868]"
0.1,0.4,0.1,"[945, 1505, 1873]"
0.1,0.4,0.2,"[1134, 1597, 1877, 1879]"
0.1,0.4,0.3,"[1323, 1775, 1883]"
0.1,0.4,0.4,"[1512, 1827, 1884, 1885]"
0.1,0.4,0.5,"[1701, 1861, 1887]"
0.1,0.5,0.05,"[1039, 1615, 1869, 1870]"
0.1,0.5,0.1,"[1134, 1723, 1875, 1879]"
0.1,0.5,0.2,"[1323, 1834, 1881]"
0.1,0.5,0.3,"[1512, 1859, 1885]"
0.1,0.5,0.4,"[1701, 1886, 1891]"
0.1,0.5,0.5,"[1890, 1891]"
0.2,0.05,0.05,"[188, 386, 450, 649, 1167, 1700, 1822]"
0.2,0.05,0.1,"[283, 847, 1024, 1757, 1804, 1842]"
0.2,0.05,0.2,"[472, 805, 1762, 1846, 1849]"
0.2,0.05,0.3,"[661, 1265, 1830, 1865]"
0.2,0.05,0.4,"[850, 1466, 1850, 1869]"
0.2,0.05,0.5,"[1039, 1673, 1875, 1877]"
0.2,0.1,0.05,"[283, 635, 875, 1653, 1827, 1830]"
0.2,0.1,0.1,"[378, 714, 1157, 1819, 1853]"
0.2,0.1,0.2,"[567, 977, 1842, 1861]"
0.2,0.1,0.3,"[756, 1356, 1849, 1867]"
0.2,0.1,0.4,"[945, 1333, 1874, 1877]"
0.2,0.1,0.5,"[1134, 1661, 1875]"
0.2,0.2,0.05,"[472, 1058, 1765, 1845, 1852]"
0.2,0.2,0.1,"[567, 1120, 1834, 1857, 1858]"
0.2,0.2,0.2,"[756, 1106, 1848, 1860, 1861]"
0.2,0.2,0.3,"[945, 1402, 1867, 1868]"
0.2,0.2,0.4,"[1134, 1678, 1874]"
0.2,0.2,0.5,"[1323, 1789, 1881, 1882]"
0.2,0.3,0.05,"[661, 1223, 1859, 1867]"
0.2,0.3,0.1,"[756, 1390, 1861, 1865]"
0.2,0.3,0.2,"[945, 1477, 1867, 1874]"
0.2,0.3,0.3,"[1134, 1695, 1880, 1881]"
0.2,0.3,0.4,"[1323, 1730, 1878]"
0.2,0.3,0.5,"[1512, 1883, 1891]"
0.2,0.4,0.05,"[850, 1375, 1852, 1857]"
0.2,0.4,0.1,"[945, 1697, 1876, 1877]"
0.2,0.4,0.2,"[1134, 1712, 1876]"
0.2,0.4,0.3,"[1323, 1747, 1872]"
0.2,0.4,0.4,"[1512, 1772, 1884]"
0.2,0.4,0.5,"[1701, 1887, 1891]"
0.2,0.5,0.05,"[1039, 1617, 1877, 1880]"
0.2,0.5,0.1,"[1134, 1645, 1877, 1879]"
0.2,0.5,0.2,"[1323, 1814, 1880]"
0.2,0.5,0.3,"[1512, 1852, 1882]"
0.2,0.5,0.4,"[1701, 1868, 1889]"
0.2,0.5,0.5,"[1890, 1891]"
0.3,0.05,0.05,"[188, 788, 827, 977, 1090, 1202, 1300, 1420, 1655, 1748, 1811, 1812]"
0.3,0.05,0.1,"[283, 371, 380, 385, 387]"
0.3,0.05,0.2,"[472, 848, 1026, 1562, 1841, 1848]"
0.3,0.05,0.3,"[661, 1122, 1686, 1812, 1866]"
0.3,0.05,0.4,"[850, 1345, 1849, 1865]"
0.3,0.05,0.5,"[1039, 1638, 1875, 1877]"
